APPENDIX B

473 file names and associated URLs for fake Flash updates found in AutoFocus:

(Read: Date -- File name -- URL)

2018-06-11 -- AdobeFlashPlayer__e3b5d5mc83vdz2a8.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=e3b5d5mc83vdz2a8
2018-06-11 -- AdobeFlashPlayer__143575mx94p6od70.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=143575mx94p6od70
2018-06-11 -- AdobeFlashPlayer__da069ydg53z6o2f8.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=da069ydg53z6o2f8
2018-06-11 -- AdobeFlashPlayer__15b6fydejx98nb32.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=15b6fydejx98nb32
2018-06-11 -- AdobeFlashPlayer__868d1ydfv3v0c8a.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=868d1ydfv3v0c8a
2018-06-11 -- AdobeFlashPlayer__8da35ydqn8pi48e1.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=8da35ydqn8pi48e1
2018-06-11 -- AdobeFlashPlayer__130e31zgxzw09c4.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=130e31zgxzw09c4
2018-06-11 -- AdobeFlashPlayer__2c1f11z17m73y270.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=2c1f11z17m73y270
2018-06-11 -- AdobeFlashPlayer__db6961z8rk2vr75f.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=db6961z8rk2vr75f
2018-06-11 -- AdobeFlashPlayer__9aaac1zqea3wj7a1.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=9aaac1zqea3wj7a1
2018-06-11 -- AdobeFlashPlayer__e8f3c1zdv37i4aec.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=e8f3c1zdv37i4aec
2018-06-11 -- AdobeFlashPlayer__176151z1mxs3y7bb.exe -- 35[.]200[.]233[.]167/flashplayer_down.php?clickid=176151z1mxs3y7bb
