Type,Indicator,Name
SHA256,c19095433ac4884d3205a59e61c90752ecb4e4fa6a84e21f49ed82d9ec48aa3c,Delivery Doc
SHA256,264f2ea4a8fad97e66d5ad41a57517b4645fe4c4959d55370919379b844b0750,Delivery Doc
SHA256,36be54812428b4967c3d25aafdc703567b42ad4536c089aefaef673ce36a958f,Delivery Doc
SHA256,9112505ff574b43dd27efc8afcf029841e1ea5193db90424b8b8b6b0e53c3437,Delivery Doc
SHA256,d77d16c310cce09b872c91ca223b106f4b56572242ff5c4e756572070fac210f,Delivery Doc
SHA256,d5b7a5ae4156676b37543a3183df497367429ae2d01ef33ebc357c4bdd9864c3,Delivery Doc
SHA256,c63f1d364b9fa2c1023ce5a1b5fed12e1eba780c64276811c4b47743dfcbadbd,Delivery Doc
SHA256,0e7e3c2c7fe34afc02c6e672ae00bc4e432b300ec184dec08440fba91b664999,Delivery Doc
SHA256,88e02850c575504bb4476f0d519cec8e6a562b72d17ed50b9d465d8e0de50093,Delivery Doc
SHA256,67c3c5af27d19f25bc55c8e36ef19b57c03b211ce0637055721ae4b0e57011a7,Delivery Doc
SHA256,5194f84cc52093bb4978167a9f2d5c0903e9de0b81ca20f492e4fc78b6a77655,Delivery Doc
SHA256,3e6d39886d76ab3c08b26feae075e01e9fb3c90795fa52dd6c74e4ef8b590fe8,Delivery Doc
SHA256,525ba2c8d35f6972ac8fcec8081ae35f6fe8119500be20a4113900fe57d6a0de,Delivery Doc
SHA256,5d3d5fa9c6ffa64b2af0c5ce357cb6a16085280d32eb321d679b57472ffb1019,Delivery Doc
SHA256,6ccb3882c516fafc54444e09f5c60738831292be0231939bec9168a0203e01bb,Delivery Doc
SHA256,c175b2e9f0d73db293ca061ce95cdd92a423348aa162b14c158d97e9e7c3ff10,Delivery Doc
SHA256,66733fe27591347f6b28bc7750ba1b47b2853f711adcdb1270951c6b92e795d6,Delivery Doc
SHA256,fbd63941a25253f5bafe69c9cc86c7effc6ff14b9adddd6f69e2f26ed39a77a4,Delivery Doc
SHA256,2ba871586176522fe75333e834c16025b01e1771e4c07bc13995adbfa77c45f5,Delivery Doc
SHA256,6a441b2303aeb38309bf2cb70f1c97213b0fa2cf7a0f0f8251fe6dc9965ada3b,Delivery Doc
SHA256,d698c1d492332f312487e027d0665970b0462aceeeba3c91e762cff8579e7f72,Delivery Doc
SHA256,99e9a816e6b3fe7868b9c535ed13028f41089e0275eba1ba46ae7a62a7e47668,Delivery Doc
SHA256,df1bd693c11893c5259c591dceef707aa0480ef5626529f8a5b0ef826e5c0dec,POWERSTATS
SHA256,4ba618c04cbdc47de2ab5f2c91f466bc42163fd541de80ab8b5e50f687bbb91c,POWERSTATS
SHA256,e241b152e3f672434636c527ae0ebbd08c777f488020c98efce8b324486335c5,POWERSTATS
SHA256,6b4d271a48d118843aee3dee4481fa2930732ed7075db3241a8991418f00d92b,Android Malware
SHA256,02f54da6c6f2f87ff7b713d46e058dedac1cedabd693643bb7f6dfe994b2105d,Android Malware
SHA256,9af8a93519d22ed04ffb9ccf6861c9df1b77dc5d22e0aeaff4a582dbf8660ba6,Android Malware
SHA256,dff2e39b2e008ea89a3d6b36dcd9b8c927fb501d60c1ad5a52ed1ffe225da2e2,Android Malware
SHA256,26de4265303491bed1424d85b263481ac153c2b3513f9ee48ffb42c12312ac43,Android Malware
SHA256,3bfec096c4837d1e6485fe0ae0ea6f1c0b44edc611d4f2204cc9cf73c985cbc2,Android Malware
SHA256,5dbf6e347164d580665208b2bc04756857529121fd1c7861e84f18e8a6027924,Android Malware
SHA256,e9617764411603ddd4e7f39603a4bdaf602e20126608b3717b1f6fcae60981f2,Android Malware
SHA256,be9fb556a3c7aef0329e768d7f903e7dd42a821abc663e11fb637ce33b007087,Android Malware
SHA256,de4a1622b498c1cc989be1a1480a23f4c4e9cd25e729a329cfadb7594c714358,Android Malware
SHA256,c2c2adecff2e517395571f4f9bee3b8cffed4521a8e1a3e3b363fd5e635f2eee,
SHA256,b2242bc51ebe2c3abc5a8691546827070540db43843b8328bdb81f450cd1254b,
SHA256,a4f9509e865d0a387cb8f0367e35ffd259b193f5270aacb67cb99942071c60cc,
SHA256,484f78eb4a3bb69d62491fdb84f2c81b7ae131ec8452a04d6018a634e961cd6a,Lazagne
SHA256,a35406d9ef82a68fbabb3c1e19911c9ed41bed335ef44a15037d1580c2b9dd12,Lazagne
SHA256,efdec1ad0830359632141186917fd32809360894e8c0a28c28d3d0a71f48ec2f,Lazagne
SHA256,f1a69e2041ab8ab190d029d0e061f107ef1223b553e97c302e973a3b3c80f83e,Lazagne
SHA256,31cf13e8579f0589424631c6be659480f9a204a50a54073e7d7fe6c9c81fa0db,Lazagne
SHA256,8674058edfbe636e550109fabb6403827c1bba4ab08833e9692099c96a43497a,POWERSTATS
SHA256,b134bde3d8d141b9b4e824adaac87fc3eb40d3ab64682a73b2eb1743d7e3ceb0,POWERSTATS
SHA256,19e69e5925b9fac1a104fc37b06de42043276c17dac88be2f1d1815f7b56b3f6,POWERSTATS
SHA256,46f6eaa082f3def929dfabf2b7ce62abc47496f8543de932386bca6364023bad,POWERSTATS
SHA256,666625c87a29745b54710682823e3432fd7a54d2788cbcba2243406bc1b48ab3,POWERSTATS
SHA256,ae7350a2713d9a7f788c2c670fda44046183dfe646d9837ceaa0b6bad1d45a6e,POWERSTATS
SHA256,ff9ef26fa3b0b76658a8c6696bf2f9d23f132d1d422050802749134c446f757e,POWERSTATS
SHA256,a55aedff23bcdc83748d4e87ab992c0fb674a0af6b90687b2a2fc7cab52676a9,POWERSTATS
SHA256,17405e9f8f889925521912aea72467330f3dffeaf8ec8678ef6f412204262896,POWERSTATS
SHA256,6ee79815f71e2eb4094455993472c7fb185cde484c8b5326e4754adcb1faf78e,SHARPSTATS
SHA256,81c7787040ed5ecf21b6f80dc84bc147cec518986bf25aa933dd44c414b5f498,SHARPSTATS
SHA256,999e4753749228a60d4d20cc5c5e27ca4275fe63e6083053a5b01b5225c8d53a,SHARPSTATS
SHA256,8501c4df5995fd283e733ab00492f35aecb6ea2315b44e85abb90b3f067ccb64,SHARPSTATS
SHA256,4bd93e4a9826a65ade60117f6136cb4ed0e17beae8668a7c7981d15c0bed705a,SHARPSTATS
SHA256,3f06d2d2e1641952f44a2de4db037d3272cfa621fb9388cdb1074643f50c0705,SHARPSTATS
SHA256,2967f1acceaa7d121f8f2c46bc04a3c146c472997d43f11f98d967a88be6c095,SHARPSTATS
SHA256,503b2b01bb58fc433774e41a539ae9b06004c7557ac60e7d8a6823f5da428eb8,DELPHSTATS
SHA256,04acd5721ad37ac5aa84e7f7e20986de0a532fb625a8bc75302a0f38c171cee3,DELPHSTATS
SHA256,8ea17ed2cb662118937ed6fe189582cc11b2b73bb27a223d0468881ac5fcc08e,DELPHSTATS
SHA256,e2f82b074074955eeca3b0dd7b2831192bee49de329d5d4b36742c9721c8ad94,DELPHSTATS
SHA256,121adcf3a52cafd0204ca4d4a42a9a09d6c9f559bcb997e51dba79c6a5a04efd,
SHA256,edde2eb39ed2f145c41e53e87d43add8de336d3e4d5c8d261f471d35edf3ed47,
SHA256,e60c802b692a503f4f91e8809bb961b5423c602f6fb374de1af4d983415de3f1,
SHA256,c84a61ba8c84ca1e879c4d8ac802ec260a8c426d89a09d8627a8c08ff6d88faf,
SHA256,78da47f5a341909d1e6f50f8d39fdde8129ede86f04f3e88b2278e16c72e2461,
SHA256,4e2cdfed691d6debab01c1733135b146817c94024177f9ef4b22726fac84322f,
SHA256,3fee29fefe4aa9386a11a7a615dd052ff89e21d87eee0fff5d6f933d9384ede2,
SHA256,3c75c2f7b299d9cc03a7ff91c568defaa39b4be02d58a75a85930ab23d2a2cff,
SHA256,276a765a10f98cda1a38d3a31e7483585ca3722ecad19d784441293acf1b7beb,
SHA256,818253f297fea7d8a2324ee1a233aabbaf3b0b4b9cdaa1ebd676fe00f2247388,
SHA256,f6707b5f41192353be3311fc7f48ee30465038366386b909e6cefaade70c91bc,
SHA256,de7b77f9c456d26e369263b6e1d001279b69e687b2d3029803ede21417d4f5fa,
SHA256,cc685f30e2f6039d12b4cbc92e38f1d64ba75ac12cb86afce5261a11cf4931de,
SHA256,0faa2bb90de44ef87c7ee11165f7c702211dd603bdaea94af09cfecc3f525138,
SHA256,e6812fa0e12cc1913bfc7eb6dceb638429048e3cc59ce576c012a1d27fa20959,
SHA256,fb773f7324fdca584fff7da490820c7243a10555c8ff717d21c039a5ba337a43,
SHA256,11761d6cf365932540ccb95b6f20aa45379736cfde33742a004fc8ceccad7daf,
SHA256,b9d4752b892759bb0cb166ab565f050f4b6385dd67f4288ff2231c69ab984a26,
SHA256,604e09e01e2bfbc8f3680abd8005906e3fbcd2f4edaf24d80cd7105ec6f991b1,
SHA256,f2b8d7ce968ed8d6c33116bcfb8aeed97d89ec1ebf4f505c891020dc79d0ddd3,
SHA256,336237b1ed2c99c0fef4c954490bd8282d6e46941d2ac2b6c9294a1aa9a254ed,
SHA256,28a0131a9fda9fe2f2272c5091c77dc750da93d4a070dbd817af38723ea18f02,
SHA256,d320286e80d5785bbd14b10c00f5c9d38d9a781075d7d6ed4eb27c07d4788dbf,
SHA256,24878dbde796c471a9d028f65421017afc087c958fb54c4b6c3cc7aeabbc1119,
SHA256,57a9e2e6e715455827faefa982b4312b203189950fe285f1413174f5e812e408,
SHA256,92bb4432cc9d2988ee4043e420a4df9c8caec4cd93ab258e07546781daa37086,
URL,http://www.cankayasrc[.]com/style/js/main.php,
URL,http://ektamservis[.]com/includes/main.php,
URL,http://gtme[.]ae/font-awesome/css/main.php,
URL,https://www.adfg[.]ae/wp-includes/widgets/main.php,
URL,http://adibf[.]ae/wp-includes/js/main.php,
URL,http://hubinasia[.]com/wp-includes/widgets/main.php,
URL,https://benangin[.]com/wp-includes/widgets/main.php,
URL,hxxp://106[.]187[.]38[.]21/short_qr/work[.]php?c=,
URL,hxxp://arbiogaz[.]com/upload/work[.]php?c=,
URL,hxxp://azmwn[.]suliparwarda[.]com/wp-content/plugins/wpdatatables/panda[.]php?c=,
URL,hxxp://azmwn[.]suliparwarda[.]com/wp-content/themes/twentyfifteen/logs[.]php?c=,
URL,hxxp://bangortalk[.]org[.]uk/speakers[.]php?c=,
URL,hxxp://best2[.]thebestconference[.]org/ccb/browse_cat[.]php?c=,
URL,hxxp://camco[.]com[.]pk/Controls/data[.]aspx?c=,
URL,hxxp://cbpexbrasilia[.]com[.]br/wp-content/plugins/wordpress-seo/power[.]php?c=,
URL,hxxp://cbpexbrasilia[.]com[.]br/wp-includes/widgets/work[.]php?c=,
URL,hxxp://cgss[.]com[.]pk/data[.]aspx?c=,
URL,hxxp://diplomat[.]com[.]sa/wp-content/plugins/wordpress-importer/cache[.]php?c=,
URL,hxxp://feribschat[.]eu/logs[.]php?c=,
URL,hxxp://ghanaconsulate[.]com[.]pk/data[.]aspx?c=,
URL,hxxp://magical-energy[.]com/css[.]aspx?c=,
URL,hxxp://magical-energy[.]com/css/css[.]aspx?c=,
URL,hxxp://mainandstrand[.]com/work[.]php?c=,
URL,hxxp://riyadhfoods[.]com/css/edu[.]aspx?c=,
URL,hxxp://riyadhfoods[.]com/jquery-ui/js/jquery[.]aspx?c=,
URL,hxxp://school[.]suliparwarda[.]com/components/com_akeeba/work[.]php?c=,
URL,hxxp://school[.]suliparwarda[.]com/plugins/editors/codemirror/work[.]php?c=,
URL,hxxp://suliparwarda[.]com/includes/panda[.]php?c=,
URL,hxxp://suliparwarda[.]com/layouts/joomla/logs[.]php?c=,
URL,hxxp://suliparwarda[.]com/wp-content/plugins/entry-views/work[.]php?c=,
URL,hxxp://suliparwarda[.]com/wp-content/themes/twentyfifteen/work[.]php?c=,
URL,hxxp://tmclub[.]eu/clubdata[.]php?c=,
URL,hxxp://watyanagr[.]nfe[.]go[.]th/e-office/lib/work[.]php?c=,
URL,hxxp://watyanagr[.]nfe[.]go[.]th/watyanagr/power[.]php?c=,
URL,hxxp://whiver[.]in/power[.]php?c=,
URL,hxxp://www[.]4seasonrentacar[.]com/viewsure/data[.]aspx?c=,
URL,hxxp://www[.]akhtaredanesh[.]com/d/file/sym/work[.]php?c=,
URL,hxxp://www[.]akhtaredanesh[.]com/d/oschool/power[.]php?c=,
URL,hxxp://www[.]arcadecreative[.]com/work[.]php?c=,
URL,hxxp://www[.]armaholic[.]com/list[.]php?c=,
URL,hxxp://www[.]asan-max[.]com/files/articles/css[.]aspx?c=,
URL,hxxp://www[.]asan-max[.]com/files/articles/large/css[.]aspx?c=,
URL,hxxp://www[.]autotrans[.]hr/index[.]php?c=,
URL,hxxp://www[.]dafc[.]co[.]uk/news[.]php?c=,
URL,hxxp://www[.]eapa[.]org/asphalt[.]php?c=,
URL,hxxp://www[.]elev8tor[.]com/show-work[.]php?c=,
URL,hxxp://www[.]jdarchs[.]com/work[.]php?c=,
URL,hxxp://www[.]kunkrooann[.]com/inc/work[.]php?c=,
URL,hxxp://www[.]mackellarscreenworks[.]com/work[.]php?c=,
URL,hxxp://www[.]mitegen[.]com/mic_catalog[.]php?c=,
URL,hxxp://www[.]nigelwhitfield[.]com/v2/work[.]php?c=,
