First Seen,SHA256,Domain/IP,Port,Backup DNS,File Name,Startup Name,Folder Name,Data Directory Name,Backup Startup Exe,Mutex,Build ID,Enable Client Installation/Startup,Client Persistence Module: Protect Luminosity's Client Binary,Silent Mode (Hide Luminosity Window on Client PC),Proactive Anti-Malware: Clean Malicious Files and Speed up Client PC,Power Saver: Prevent Sleep Mode and Turn off Monitor after 15 minutes of inactivity,Remove File after Execution (Melt),Anti-Virtual Machines/Debugging,Hide File and Directories,Backup Startup
2015-09-20,2c2bfb6385e682920998c29f0ace8d55e1672f33c95cecc4c38e091a42c738ca,70.75.154.71,1337,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,7433cdb324b04dd5e3c3db213381216c7c539baa,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-02-07,2c430f961950051b33e81c9e6aeb1653177bb5f1c5aa293acd54e946c8620ae5,aninjauk.dynu.com,25888,Disabled,explorer.exe,explorer,N/A,N/A,N/A,df165245001686e90af2b38f342a1e06a54d735c,PERV LL FULL,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-03-16,354ae49d0ee295d459a29e2e58cb28b24dfe0157ebc7f14c1534989fd212ddf0,aguiyi123.ddns.net,1506,Disabled,repair.exe,Mechanic,N/A,N/A,N/A,837ee6b2c097f576b11553d1cfb07540ba42645d,March16,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-09-30,315b876e85431be2af3ffd3d9ef6ac5d5728ffe24f8b5d0f0ded1e8732d3347c,46.36.38.62,19417,htzdruk.ddns.net,sysmon.exe,System Monitor,N/A,N/A,N/A,68bb853b9671c499151afeb85f6cfcc0b2819e0d,SCN3,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-04-25,359cb10e0a2808e7d62ba6437017b355d37b6a4696e02d7fa8ac8a28bcb2c03a,connect0r.ddns.net,6318,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,cb7a733796f27a62e314dc7f935dd78ccc63d0e2,habbo,No,Yes,Yes,No,Yes,No,No,No,No
2016-03-30,2dab2e8e60b585fba47756f7b7cdcfb3216c965b1fd709194e9fe56fde680094,cryfreeman042.ddns.net,1040,Disabled,svchost.exe,svchost,svchost,svchost,clientmonitor.exe,24097584d4c2c5768adfaa1358de6e4539ba8fcd4e358c7f23195585ffef16f9,hardcol,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2016-03-28,35a0d64f16574f378a4667cb0a2d3dbcddfd86ee181c03f971195f36079c2e50,scatter.ddns.net,1970,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,795a7b9f3d4cd7a62a7e334b18cf112d62873e96,B,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-05-19,34c7a1fe48ec39ec4eb74724347ea89aa9bbddd5e2833c17f5829c5554c79ee3,sverus.ddns.net,1400,Disabled,winlogon.exe,Winlogon,N/A,N/A,N/A,2006cc6cfaa4421910d7d81873bf16f37e8d7859,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-05-04,34aca1a4602aaab46635f1f59dd99b4aec03e8493274b9a07617cb71c3ab3eac,aurum13599.no-ip.biz,7777,bluediamond15.no-ip.org,windows_live_updater.exe,winupdater,N/A,N/A,N/A,a2f1dba0be975a7e51b9d49e1828f5a9126ffab5,07,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-02-10,349e22a50918bace7a2bbebc361a60d89af44617d7e5c4cbc49849a910b94d94,bondman.darktech.org,6318,Disabled,Disabled,Disabled,N/A,N/A,N/A,89607e0e7683507c644a19bfd4c16c4ff3ef543f,hacked,No,Yes,Yes,Yes,Yes,No,No,No,No
