SHA256,SHA1,MD5,Compile Timestamp,File Type,File Size,PDB String,C2 Server
e44e94f5779ed0e2c077635a333a229e27d52411d3fa2b42434b1d3fe4b1fada,f0f4b43db52a96ef0f6abcbff2bf01ab0f01aaa6,10cacca80ef5767206969f75e03432f1,2017-05-12 07:22:53 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",80896,C:\intelc\Release\crystal.pdb,sterling66[.]com
a9fb70fe7fb18f2ee007fb2163124dad8df0c80a44a4cb2a76e88272f61608c2,ddc26d07789e8d29a13261200fc0230f27bc46ab,7b711b794d3607babcb0917134099f31,2017-05-08 09:44:36 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",80896,C:\intelc\Release\crystal.pdb,sterling66[.]com
755bcf2999baf812448fa00821f9a4c6cfba01dd26f3a1383060ccf63ff197f9,b9f27f0e134d7210f58f26674dcd2f7760982e5d,ecca8f4c7e14bbc1e3a06b9f8a41b53a,2017-05-08 07:31:23 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",91136,C:\Users\STONE\Documents\Visual Studio 2008\Projects\15Mar2017\Release\15Mar2017.pdb,a.churchill91[.]com
be62d6a96477bc52fcc9e7a1102d01d2e7495df4ae88d9bd9ba3bee7b4308cc5,f3e08e000bf3e398f48dc65427d5db8723abbfab,8da2dbb5f6171e0908674a69d412335b,2017-05-04 11:43:11 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",77312,C:\Users\WIN7-XP\Documents\Visual Studio 2008\Projects\intelc\Release\intelc.pdb,sterling66[.]com
833674b40ae5714d0f479461048ddc8439ee6631b16c4afaa6164ee8400c33b7,2889a06f5676c7cad7abeff4ec3406d8cdac24a1,99197cd2eef1b446f396b20d6bc3bb24,2017-05-04 09:17:55 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",81408,C:\crystal\Release\crystal.pdb,sterling66[.]com
bc0c5fe35ae4b84de7717c0fd18d7c3bb7fd53fc4c2d30dcd894cbde0c850d4e,9281047932405466b418bc3f50ecae809ed885fd,dac9f9bf6d7fe264f220932c2e73bde3,2017-05-04 08:41:39 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",99840,C:\Users\STONE\Documents\Visual Studio 2008\Projects\15Mar2017\Release\15Mar2017.pdb,a.churchill91[.]com
f3171fd468bbaeb73da16b8c0dd142f1296c4486ce03e0dad950a97a9029c75e,75771e26dc9528cf2e39fb698eea0661b396b71b,c009cc06ea2a0bf320884700a48ab835,2017-05-04 06:40:07 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",163840,G:\c++\sandy dl 03032017\Release\chrom.pdb,192.168.137[.]102
ad1de02434cb0897bf9812673615b5e88e6696241bab5b4e9599ab2ad01aa6ad,9d592df17ffe67cb7fcc3afd8a0248cdb3d383b9,33b1e07651f7b8654e8174de8415c134,2017-04-17 08:34:45 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",82944,N/A,sterling66[.]com
1757ec050038a168a8f595e9c315877efcb3336cf2f92d67654093f27fec8ef3,6a1a9031677c3d694a89e0b9dc4c4b0812d349bc,20472cf5d5d8328387f824b12f6b39ca,2017-03-29 06:24:43 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",159744,G:\c++\sandy dl 03032017\Release\hpc.pdb,192.168.137[.]102
e8d22481dd7c46289cccd0e216fb9850e28ddc82fdf556b029ed7d731719e0f2,d71acecc7974a66b8b3e459354e0481a82803c5b,de668364fc3ab1a225e75008f8a58ae4,2017-03-15 10:18:53 UTC,"PE32 executable (GUI) Intel 80386, for MS Windows",113096,C:\15Mar2017\Release\15Mar2017.pdb,woodwind71[.]com
